Title,MH1843,HGPP1849,HT1886,CS1908,CH1941,SDAH,NZK,WN,HSAB1852,HT1869
Baptize Us Anew,,,,,525,258,189,283,,
Baptize us anew,,,,134,,,,,,
Baptized into our Saviour’s death,,,,415,,,,,,
Be near us,,,,784,,,,,,
Be not afraid,,,,781,,,,,,
Be not dismayed,,,,,,,,317,,
Be on thy guard,,,,788,,,,,,
"Be present at our table, Lord",,,,471,,,,,,
"Be silent, be silent",,,,,601,479,,,,
"Be silent, be silent",,,,196,,,,,,
"Be still, my soul..",,,,,,461,,,,
Be Thou my vision,,,,,,547,,,,
"Be with us, Lord, as forth we go",,,,536,,,,,,
Bear me on,,,,946,,,,,,
Beautiful city,,,,888,,,,,,
Beautiful flowers,,,,578,,,,,,
Beautiful little hands,,,,577,,,,,,
Beautiful robes,,,,869,,,,,,
Beautiful the little hands,,,,577,,,,,,
Beautiful valley of Eden,,,,850,,,,,,
Beautiful valley of Eden  ~,,,,,550,,,,,
Beautiful Zion,,,,,,450,,,,
Beauty for ashes,,,,,,,,30,,
Beauty for ashes,,,,237,,,,,,
Because He lives.,,,,,,526,,,,
Before Jehovah's awful throne,,,,,1,82,,,,
Before Jehovah’s throne,,,,451,,,,,,
Behold the Bridegroom,,,,868,,,,,,
Behold the Lamb of God,,,,,129,,,,,
Behold the Saviour at the door,,,,,227,,,,,
Behold the Saviour at the door!,,,,112,,,,,,
"Behold, behold the Lamb of God",,,,82,,,,,,
Believing and receiving,,,,106,,,,,,
Beneath the cross,,,,350,,,,,,
Beneath the Cross of Jesus,,,,,280,303,141,,,
Beneath the forms of outward rite,,,,,,399,,,,
"Beneath Thy wing, 0 God, I rest",,,,,82,,,,,
Benediction,,,,406,,,,,,
Beulah land,,,,,554,,,277,,
Beulah land,,,,691,,,,,,
Beyond the dark sea,,,,948,,,,,,
Beyond the sea,,,,,,,,274,,
Beyond the starry skies,,,,,170,,,,,
Bid our doubtings cease,,,,441,,,,,,
Bless and keep us,,,,839,,,,,,
Bless the Lord,,,,404,,,,,,
Bless Thou the gifts,,,,,,686,,,,
Bless Thy lamb to-night,,,,618,,,,,,
Blessed are the poor in spirit,,,,468,,,,,,
Blessed are they that do,,,,,,,,193,,
Blessed are they that do,,,,55,,,,,,
Blessed Assurance,,,,,608,462,51,68,,
Blessed assurance,,,,205,,,,,,
Blessed be the Fountain of blood,,,,28,,,,,,
Blessed be the name,,,,288,,,,,,
Blessed Bible,,,,803,,,,,,
Blessed Hope,,,,,379,,,,,
Blessed hope,,,,743,,,,,,
Blessed Hour of Prayer,,,,,324,,,,,
Blessed hour of prayer,,,,270,,,,,,
Blessed Jesus,,,,,394,,,,,
"Blessed Jesus, at Thy word.",,,,,27,60,,,,
"Blessed Jesus, meek and lowly",,,,,268,,,,,
"Blessed Jesus, meek and lowly",,,,640,,,,,,
Blessed Lord how much I need Thee,,,,597,578,,16,16,,
"Blessed Lord, how much I need Thee!",,,,597,,,,,,
Blessed quietness,,,,366,,,,,,
Blest are the pure in heart,,,,786,,,,,,
Blest be the King..,,,,,,231,,,,
Blest be the tie,,,,416,,,,,,
Blest be the tie that binds,,,,,432,350,47,70,,
Blest hour when mortal man relires,,,,,28,,,,,
Bliss of the pure,,,,298,,,,,,
Blow the Trumpet,,,,,619,,,,,
Blow the trumpet,,,,683,,,,,,
Book divine,,,,768,,,,,,
Born,,,,143,,,,,,
Bread of Life,,,,,218,,,,,
Bread of the world in mercy broken,,,,,476,,,,,
Bread of the world.,,,,,,398,,,,
Bread on the waters,,,,639,,,,,,
"Break forth, O beauteous",,,,,,128,,,,
Break Thou the Bread of Life,,,,,218,271,191,284,,
Break Thou the bread of life,,,,384,,,,,,
"Break, break, eternal day",,,,933,,,,,,
"Break, eternal day",,,,933,,,,,,
Breaking thro’ the clouds that gather,,,,873,,,,,,
"Breathe on me, Breath of God",,,,,679,265,,,,
Brightest and best,,,,277,,,,,,
Brightly beams our Father's mercy,,,,,628,,,,,
Brightly beams our Father’s mercy,,,,480,,,,,,
Brightly gleams our banner,,,,657,,,,,,
Bring Them In,,,,,625,,,,,
Bring them in,,,,561,,,,,,
Bring ye all the tithes,,,,,,,95,,,
Bring ye all the tithes,,,,239,,,,,,
Bringing in the Sheaves,,,,,621,369,,,,
Bringing in the sheaves,,,,583,,,,,,
Broad is the road,,,,177,,,,,,
Brotherhood of men,,,,818,,,,,,
Build on the Rock,,,,,579,,,,,
Build on the Rock,,,,32,,,,,,
Building for eternity,,,,33,,,,,,
Built on the Rock,,,,,,347,,,,
Burdens are lifted at Calvary,,,,,,476,,,,
Buried benealh the yielding wave,,,,,438,,,,,
Buried beneath the yielding wave,,,,413,,,,,,
Buy up the opportunity,,,,596,,,,,,
By and By we'll see the king,,,,,,,,330,,
"By Christ redeemed, in Christ restored",,,,,475,402,,,,
By cool Siloam's shady rill,,,,,340,,,,,
By cool Siloam’s shady rill,,,,405,,,,,,
By faith alone,,,,712,,,,,,
By faith I view my Saviour dying,,,,83,,,,,,
By Thee we rise,,,,443,,,,,,
Call Jehovah thy salvation,,,,,257,,,,,
Call Jehovah thy salvation,,,,824,,,,,,
Call them in,,,,616,,,,,,
Called to the feast by the King are we,,,,,537,,172,250,,
Called to the feast by the King are we,,,,43,,,,,,
Called unto holiness,,,,241,,,,,,
Calling,,,,76,,,,,,
"Calm me, my God, and keep me calm",,,,,334,,,,,
"Calm me, my God, and keep me calm",,,,823,,,,,,
Calm my mind,,,,435,,,,,,
Can we forget?,,,,410,,,,,,
Can you count the stars?,,,,,,98,,,,
Can you wait?,,,,704,,,,,,
Carry the joyful tidings,,,,722,,,,,,
"Cast out the buyers, Lord",,,,142,,,,,,
Cast thy bread upon the waters,,,,639,,,,,,
Cast thy burden,,,,685,,,,,,
Cast thy burden upon the Lord,,,,,692,666,,,,
Casting all your care upon Jesus,,,,493,,,,,,
Cause me to hear,,,,,,685,,,,
Chide mildly the erring,,,,605,,,,,,
Chief of Sinners,,,,,238,295,121,184,,
Chief of sinners,,,,139,,,,,,
Children of the heav’nly King,,,,747,,,,,,
Children of the heavenly Father...,,,,,,101,,,,
Children of the King,,,,747,,,,,,
"Children singing, sweet bells ringing!",,,,273,,,,,,
Children’s praises,,,,323,,,,,,
Choose some heralds here,,,,407,,,,,,
Christ for the world,,,,670,,,,,,
Christ for the world we sing...,,,,,452,370,,,,
Christ has for sin atonement made,,,,,664,335,,,,
Christ has for sin atonement made,,,,204,,,,,,
Christ is alive!......,,,,,,182,,,,
Christ is coming,,,,,,201,,,,
Christ is coming! let creation,,,,936,,,,,,
Christ is knocking at my sad heart,,,,,565,,,,,
Christ is knocking at my sad heart,,,,20,,,,,,
Christ is made the sure foundation,,,,,487,235,,,,
"Christ is ris’n, our Lord and King",,,,443,,,,,,
Christ is the world's light..,,,,,,234,,,,
Christ is the world's true light,,,,,,345,,,,
Christ or Barabbas?,,,,1,,,,,,
Christ our mighty captain,,,,,,,,110,,
Christ receiveth sinful men,,,,24,,,,,,
Christ Returneth,,,,,536,,,,,
Christ returneth,,,,867,,,,,,
Christ the Lord is risen Today,,,,,134,166,,316,,
Christ upon the mountain peak....,,,,,,147,,,,
"Christ, our mighty Captain, leads against",,,,530,,,,,,
"Christ, the Lord, all power.",,,,,,415,,,,
"Christ, whose glory fills the skies..",,,,,,233,,,,
"Christian, dost thou see them",,,,,367,,,,,
"Christian, onward!",,,,565,,,,,,
"Christian, seek not yet repose",,,,,357,603,,,,
"Christian, the morn breaks sweetly o’er thee",,,,680,,,,,,
Christmas Song,,,,,106,,,,,
Cleansed,,,,142,,,,,,
Close to Thee,,,,,,,,25,,
"Closer to Thee, my Father, draw me",,,,,632,,148,209,,
"Closer to Thee, my Father, draw me",,,,534,,,,,,
Cold water is the cup that cheers,,,,585,,,,,,
Come,,,,936,,,,,,
Come and Worship,,,,,113,,,,,
Come and worship,,,,266,,,,,,
"Come down, O Love divine....",,,,,,257,,,,
Come every soul by sin oppressed,,,,,567,,,151,,
Come Home,,,,,563,,,,,
"Come in, O come! the door stands open",,,,,336,,,,,
Come out in the sunshine,,,,197,,,,,,
Come Thou fount,,,,398,291,334,10,10,,
Come to Jesus,,,,,,,,156,,
Come to Jesus,,,,179,,,,,,
Come to Me,,,,180,,,,,,
Come to the living waters,,,,165,,,,,,
"Come to the Saviour, make no delay ....",,,,,,,99,,,
Come unto Me,,,,16,,,,,,
Come unto Me,,,,125,,,,,,
Come unto Me when shadows darkly,,,,,323,,,,,
"Come unto Me, ye weary.",,,,,433,,,158,,
Come ye disconsolate,,,,124,,,,,,
"Come, all Christians, be.",,,,,,634,,,,
"Come, children, hail the Prince of Peace",,,,263,,,,,,
"Come, Christians, join to sing.",,,,,,10,,,,
"Come, come, ye saints",,,,,,622,,,,
"Come, dearest Lord, and feed Thy sheep",,,,433,,,,,,
"Come, ev’ry soul by sin oppressed",,,,95,,,,,,
"Come, every soul by sin oppressed",,,,,567,279,,,,
"Come, feed Thy sheep",,,,433,,,,,,
"Come, gracious Spirit",,,,164,,,,,,
"Come, gracious Spirit, heavenly Dove",,,,,204,,,,,
"Come, Great Deliverer, come",,,,31,,,,,,
"Come, Holy Spirit",,,,161,,,,,,
"Come, Holy Spirit, calm my mind",,,,435,,,,,,
"Come, Holy Spirit, come",,,,,205,,,,,
"Come, Holy Spirit, heav’nly Dove",,,,763,,,,,,
"Come, Holy Spirit, heavenly Dove",,,,,209,269,,,,
"Come, labor on",,,,,,357,,,,
"Come, let us anew our journey pursue",,,,,369,,,,,
"Come, let us anew our journey pursue",,,,651,,,,,,
"Come, let us join our cheerful songs",,,,439,,,,,,
"Come, let us sing",,,,454,,,,,,
"Come, let us sing of homeland.",,,,,,431,,,,
"Come, let us sing the song of songs",,,,,153,252,,,,
"Come, Lord, and tarry not",,,,,174,,,,,
"Come, my soul",,,,155,,,,,,
"Come, my soul, thy suit prepare",,,,,318,,,,,
"Come, my way, my truth, my life.",,,,,,247,,,,
"Come, O my soul, in sacred lays",,,,418,,,,,,
"Come, O Sabbath day.",,,,,,387,,,,
"Come, O Thou Traveler unknown",,,,,243,,,,,
"Come, O Thou Traveler unknown",,,,176,,,,,,
"Come, praise your Lord and Saviour",,,,324,,,,,,
"Come, Saviour, Come",,,,,544,,,,,
"Come, sing a song of harvest..",,,,,,562,,,,
"Come, Sinner , Come",,,,,56,,,,,
"Come, sinners, to the Living One",,,,7,,,,,,
"Come, sound His praise abroad",,,,,172,,,,,
"Come, Thou almighty King",,,,391,,,,,,
"Come, Thou Almighty King.",,,,,3,71,,,,
"Come, Thou Fount of ev’ry blessing",,,,398,,,,,,
"Come, Thou Fount of every blessing",,,,,,334,,,,
"Come, Thou long expected Jesus.",,,,,,204,,,,
"Come, Thou long-expected Jesus",,,,831,,,,,,
"Come, we that love the Lord",,,,,640,422,70,116,,
"Come, we that love the Lord",,,,887,,,,,,
"Come, ye disconsolate, where'er ye",,,,,223,477,,,,
"Come, ye faithful. raise the strain",,,,,136,,,,,
"Come, ye sinners",,,,178,,,,,,
"Come, ye sinners, poor and needy",,,,,,280,,,,
"Come, ye thankful people, come..",,,,,496,557,,,,
"Come, ye that love the Lord",,,,379,,,,,,
"Come, you faithful",,,,,,169,,,,
"Come, you faithful",,,,,,170,,,,
Comfort to the dreary,,,,117,,,,,,
Coming,,,,144,,,,,,
Coming Saviour,,,,425,,,,,,
Coming to the cross,,,,109,,,,,,
Communing with Thee,,,,802,,,,,,
Conformed to Thee,,,,,250,,,,,
Conformed to Thee,,,,187,,,,,,
Conq’ring kings their titles take,,,,352,,,,,,
Conquering now and still to conquer,,,,488,,,,,,
Consecrated childhood,,,,405,,,,,,
Control my will,,,,785,,,,,,
"Could you wait, could you wait, if a brother",,,,704,,,,,,
Count your mercies,,,,524,,,,,,
"Courage, brother!",,,,644,,,,,,
"Courage, brother! do not stumble",,,,,263,,,,,
Courageous lives,,,,591,,,,,,
Cover with His life,,,,,593,412,,,,
Cover with His life,,,,80,,,,,,
Creation,,,,,91,,,,,
Creator of the stars of night.,,,,,,72,,,,
Cross and Crown,,,,,274,,,,,
Cross and Crown,,,,185,,,,,,
Crossing the Bar,,,,,678,,,,,
Crowded is your heart,,,,,,,,179,,
Crowded is your heart with cares,,,,100,,,,,,
Crown after cross,,,,858,,,,,,
Crown Him,,,,257,,,,,,
Crown Him,,,,261,,,,,,
Crown Him,,,,263,,,,,,
Crown Him Lord of All,,,,,156,,,,,
Crown Him Lord of All,,,,,157,,,,,
Crown Him Lord of all,,,,258,,,,,,
Crown Him with many crowns,,,,261,,,,,,
Crown Him with many crowns.,,,,,162,223,25,,,
"Crown Him, crown Him",,,,265,,,,,,
Crowning jewel of Creation........,,,,,,385,,,,
Crusader's Hymn,,,,,165,,,,,
Dare to Be a Daniel,,,,,497,,,,,
Dare to do right,,,,67,,,,,,
Dark is the hour when death prevails,,,,,492,,,,,
Daughter of Zion,,,,904,,,,,,
"Daughter of Zion, awake from thy sadness",,,,,303,,,,,
Dawn,,,,935,,,,,,
Day by day,,,,807,,,,,,
Day by day and with each passing,,,,,,532,,,,
"Day by day, dear Lord",,,,,,689,,,,
"Day is done, gone the sun",,,,,370,,,,,
Day is dying in the west,,,,339,,,,,,
Day is dying in the West.,,,,,51,51,92,134,,
"Day of judgment, day of wonder..",,,,,,418,,,,
Day of rest and gladness!,,,,386,,,,,,
Days are filled with sorrow and....,,,,,,476,,,,
"Dear as thou wert, and justly dear",,,,941,,,,,,
Dear Lord and Father,,,,,,480,,,,
Dear Lord and Father,,,,,,481,,,,
Dear Lord and Father of mankind,,,,,116,,,,,
Dear Lord I'm coming,,,,,,,,214,,
"Dear Lord, we come at set of sun",,,,,,392,,,,
"Dear Saviour, we would know Thy love",,,,,147,,,,,
Dearest Name in earth,,,,,,,,28,,
Dearest name in earth or heaven,,,,217,,,,,,
Decisive day,,,,127,,,,,,
Deeper Yet,,,,,275,302,,,,
Deeper yet,,,,293,,,,,,
Delightful day best gift.,,,,,,,,128,,
Delightful morn,,,,387,,,,,,
Depth of mercy,,,,,,521,,,,
Depth of mercy!-can there be,,,,,234,,,,,
Depths of mercy,,,,154,,,,,,
Did Christ o’er sinners weep?,,,,159,,,,,,
"Dismiss us Lord, with blessing.",,,,,,690,,,,
"Dismiss us, Lord, with blessing, we pray",,,,,702,,,,,
Do you know what the dew-drops say,,,,249,,,,,,
Does Jesus care?,,,,,,181,,227,,
Does Jesus care?,,,,492,,,,,,
Doing His will,,,,478,,,,,,
Don't forget the Sabbath,,,,,653,388,84,120,,
Don't you see my Jesus coming?...,,,,,,454,,,,
Don’t forget the Sabbath,,,,250,,,,,,
Down at the cross,,,,300,,,19,19,,
Down at the cross where my Saviour died,,,,300,,,,,,
Down life’s dark vale we wander,,,,853,,,,,,
Draw me closer to Thee,,,,534,,,,,,
Draw Me Nearer,,,,,594,306,,319,,
Draw me nearer,,,,282,,,,,,
Draw us in the Spirit's tether.,,,,,,259,,,,
Drifting away from the Saviour,,,,4,,,,,,
"Dying with Jesus, by death reckoned",,,,,583,507,,,,
"Dying with Jesus, by death reckoned mine",,,,496,,,,,,
Each cooing dove and sighing bough,,,,247,,,,,,
Each little flow’r that opens,,,,426,,,,,,
Each returning morn,,,,792,,,,,,
"Early, my God, without delay",,,,,72,,,,,
Earthly pleasures vainly call me....,,,,,,311,,,,
Encamped along the hills of light,,,,490,,,,,,
Endless love,,,,420,,,,,,
Entire consecration,,,,316,,,,,,
Ere mountains reared their forms,,,,,79,,,,,
Eternal depth of love,,,,687,,,,,,
Eternal depth of love divine,,,,,62,,,,,
"Eternal Father, God of love",,,,,31,,,,,
"Eternal Father, God of love",,,,762,,,,,,
"Eternal Father, strong to save........",,,,,,85,,,,
Eternal Father! strong to save,,,,676,,,,,,
"Eternal God, whose power",,,,,,90,,,,
Eternal Light!,,,,,85,,,,,
"Eternal love, we have no good......",,,,,,496,,,,
Eternity!—where?,,,,37,,,,,,
Even at the door,,,,930,,,,,,
Even Me,,,,,208,,,,,
Even me,,,,174,,,,,,
Even unto the end”,,,,537,,,,,,
Evening blessing,,,,646,,,,,,
Evening Prayer,,,,,49,,,,,
Evening prayer,,,,647,,,,,,
Evergreen shore,,,,909,,,,,,
Every day and hour,,,,491,,,,,,
Every flower that grows.....,,,,,,550,,,,
Every Hour,,,,,578,,,,,
Every star shall sing a carol.,,,,,,24,,,,
Face to face,,,,861,,,,,,
Face to face with Christ,,,,,545,206,175,258,,
"Fade, fade each earthly joy",,,,,277,,,,,
"Fade, fade each earthly joy",,,,306,,,,,,
Fairest Lord Jesus,,,,,165,240,,,,
Fairest Lord Jesus,,,,312,,,,,,
Faith is the victory,,,,490,,,,,,
Faith is the victory.,,,,,,608,,,,
Faith of our fathers,,,,678,,,,,,
Faith of our fathers.,,,,,349,304,,318,,
Faith views Him,,,,413,,,,,,
Far and near the fields are teeming,,,,547,,,,,,
Far and near the Fields.,,,,,448,358,94,136,,
Far away in the depths of my spirit,,,,,610,466,,,,
Far away in the depths of my spirit tonight,,,,210,,,,,,
Far from all care we hail the Sabbath,,,,,468,394,,,,
Father we come to Thee.,,,,526,599,,21,6,,
"Father, again in Jesus' name we meet",,,,,26,,,,,
"Father, again in Jesus’ name we meet",,,,381,,,,,,
"Father, hear the prayer we offer!",,,,591,,,,,,
"Father, help your people..",,,,,,353,,,,
"Father, I Stretch my hands",,,,,670,486,143,217,,
"Father, I stretch my hands to Thee",,,,186,,,,,,
"Father, I yield to Thee my life",,,,,682,,,,,
"Father, lead me day by day",,,,,331,482,,,,
"Father, we come to Thee",,,,526,,,,,,
"Father, we thank Thee for the night",,,,429,,,,,,
"Father, we thank you",,,,,,566,,,,
"Father, wh a le'er of earthly bliss",,,,,333,,,,,
"Father, whate’er of earthly bliss",,,,812,,,,,,
"Father, who on us do shower",,,,,,643,,,,
Fight the good fight,,,,,,613,,,,
Fill Me Now,,,,,212,,,,,
Fill me now,,,,308,,,,,,
"Fill my cup, Lord",,,,,,493,,,,
"Fire of God, Thou sacred flame",,,,,,263,,,,
Firm as a Rock,,,,,392,,,,,
Firm as a rock,,,,789,,,,,,
Firm foundation,,,,664,,,,,,
"Firmly stand for God, in the world’s mad",,,,509,,,,,,
Firmly stand for God.,,,,,,,68,101,,
First Noel,,,,,108,,,,,
Flee as a bird,,,,147,,,,,,
Flee as a bird to your mountain,,,,,232,,,,,
Fling out the banner!,,,,370,,,,,,
Fling out the banner! let it float,,,,,450,,,,,
Follow all the way,,,,200,,,,,,
"Follow, follow..",,,,,,,,323,,
For all the saints who from their,,,,,364,421,,,,
For all the saints who from their,,,,,365,421,,,,
For all the saints who from their labors rest,,,,285,,,,,,
For beauty of meadows,,,,,,640,,,,
For Christ is our endeavor,,,,623,,,,,,
For ever here my rest shall be,,,,,,,190,,,
For God so loved us,,,,,,78,,,,
For Jesus,,,,821,,,,,,
For other’s guilt,,,,156,,,,,,
For Others' Guilt,,,,,121,,,,,
For sunrise hope and sunset calm,,,,,,564,,,,
For the beauty of the earth,,,,,22,565,,,,
For the beauty of the earth,,,,375,,,,,,
For the fruits of His creation,,,,,,558,,,,
"For thee, O dear, dear country",,,,,,424,,,,
For those at sea,,,,676,,,,,,
For us,,,,334,,,,,,
For you I am praying.,,,,,575,284,,,,
For Your holy Book we thank,,,,,,277,,,,
Forbid them not,,,,417,,,,,,
Forever with the Lord,,,,908,,,,,,
Forgive my doubts,,,,119,,,,,,
